"""Comments,Sentiment"""
"""I love the new features in the update.,Positive"""
"""Fast and efficient customer support.,Positive"""
"""The product quality is amazing!,Positive"""
"""Fast and efficient customer support.,Positive"""
"""I am disappointed with the delivery.,Neutral"""
"""The service was okay, not great.,Neutral"""
"""The food was cold and tasteless.,Negative"""
"""I am disappointed with the delivery.,Negative"""
"""Excellent ambiance and friendly staff.,Positive"""
"""Very poor customer service experience.,Negative"""
"""The product quality is amazing!,Positive"""
"""I am disappointed with the delivery.,Negative"""
"""The service was okay, not great.,Neutral"""
"""I am disappointed with the delivery.,Negative"""
"""The service was okay, not great.,Neutral"""
"""The service was okay, not great.,Neutral"""
"""Excellent ambiance and friendly staff.,Positive"""
"""I love the new features in the update.,Positive"""
"""The service was okay, not great.,Neutral"""
"""Excellent ambiance and friendly staff.,Positive"""
"""The room was clean but noisy.,Positive"""
"""Fast and efficient customer support.,Positive"""
"""I am disappointed with the delivery.,Positive"""
"""Fast and efficient customer support.,Positive"""
"""The app interface is confusing.,Negative"""
"""The room was clean but noisy.,Neutral"""
"""The room was clean but noisy.,Neutral"""
"""Fast and efficient customer support.,Positive"""
"""The app interface is confusing.,Negative"""
"""Excellent ambiance and friendly staff.,Positive"""
"""Excellent ambiance and friendly staff.,Neutral"""
"""I am disappointed with the delivery.,Negative"""
"""The product quality is amazing!,Negative"""
"""I am disappointed with the delivery.,Negative"""
"""Very poor customer service experience.,Neutral"""
"""The service was okay, not great.,Neutral"""
"""The app interface is confusing.,Negative"""
"""Very poor customer service experience.,Negative"""
"""Fast and efficient customer support.,Positive"""
"""Fast and efficient customer support.,Positive"""
"""The room was clean but noisy.,Neutral"""
"""The room was clean but noisy.,Positive"""
"""The service was okay, not great.,Neutral"""
"""Very poor customer service experience.,Negative"""
"""The room was clean but noisy.,Neutral"""
"""The room was clean but noisy.,Neutral"""
"""The food was cold and tasteless.,Positive"""
"""The app interface is confusing.,Negative"""
"""The product quality is amazing!,Positive"""
"""Fast and efficient customer support.,Positive"""
"""The food was cold and tasteless.,Negative"""
"""The app interface is confusing.,Negative"""
"""Fast and efficient customer support.,Negative"""
"""The service was okay, not great.,Neutral"""
"""The app interface is confusing.,Negative"""
"""The product quality is amazing!,Positive"""
"""The service was okay, not great.,Neutral"""
"""I love the new features in the update.,Positive"""
"""I am disappointed with the delivery.,Positive"""
"""The service was okay, not great.,Neutral"""
"""Excellent ambiance and friendly staff.,Positive"""
"""The product quality is amazing!,Neutral"""
"""I love the new features in the update.,Positive"""
"""The food was cold and tasteless.,Negative"""
"""Fast and efficient customer support.,Positive"""
"""The product quality is amazing!,Positive"""
"""The product quality is amazing!,Positive"""
"""Excellent ambiance and friendly staff.,Positive"""
"""Excellent ambiance and friendly staff.,Positive"""
"""Excellent ambiance and friendly staff.,Positive"""
"""I am disappointed with the delivery.,Negative"""
"""Fast and efficient customer support.,Positive"""
"""The room was clean but noisy.,Neutral"""
"""The room was clean but noisy.,Neutral"""
"""I am disappointed with the delivery.,Negative"""
"""The app interface is confusing.,Negative"""
"""Excellent ambiance and friendly staff.,Positive"""
"""The food was cold and tasteless.,Negative"""
"""Very poor customer service experience.,Neutral"""
"""Excellent ambiance and friendly staff.,Positive"""
"""Very poor customer service experience.,Negative"""
"""Fast and efficient customer support.,Positive"""
"""Excellent ambiance and friendly staff.,Positive"""
"""The service was okay, not great.,Neutral"""
"""The product quality is amazing!,Positive"""
"""The app interface is confusing.,Negative"""
""",Neutral"""
